Year,LocationAbbr,LocationDesc,Class,Topic,Question,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Break_Out,Break_Out_Category,Geolocation,ClassId,TopicId,QuestionId,LocationId,BreakOutId,BreakOutCategoryid,ResponseId
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,,%,Percentage,900,1,"Missing includes not applicable, don't know, not recorded, no responses, and legitimate skips",,,,,,Birth Weight,,CLA9,TOP27,QUO191,59,BOC1,BOC1,
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,1-5/day,%,Percentage,8.2,,,,7.3,9.3,1019,LBW (<=2500g),Birth Weight,,CLA9,TOP27,QUO191,59,BWT1,BOC1,RES10
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,21-40/day,%,Percentage,0.9,,,,0.6,1.6,110,LBW (<=2500g),Birth Weight,,CLA9,TOP27,QUO191,59,BWT1,BOC1,RES11
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,41+/day,%,Percentage,0.3,,,,0.2,0.4,40,LBW (<=2500g),Birth Weight,,CLA9,TOP27,QUO191,59,BWT1,BOC1,RES12
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,6-10/day,%,Percentage,5.7,,,,5,6.6,762,LBW (<=2500g),Birth Weight,,CLA9,TOP27,QUO191,59,BWT1,BOC1,RES13
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,None (0 cig),%,Percentage,79.9,,,,78.5,81.3,9885,LBW (<=2500g),Birth Weight,,CLA9,TOP27,QUO191,59,BWT1,BOC1,RES27
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,< 1/day,%,Percentage,1.8,,,,1.4,2.2,229,LBW (<=2500g),Birth Weight,,CLA9,TOP27,QUO191,59,BWT1,BOC1,RES8
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,11-20/day,%,Percentage,3.1,,,,2.5,3.8,424,LBW (<=2500g),Birth Weight,,CLA9,TOP27,QUO191,59,BWT1,BOC1,RES9
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,1-5/day,%,Percentage,4.9,,,,4.6,5.3,1739,NBW (>2500g),Birth Weight,,CLA9,TOP27,QUO191,59,BWT2,BOC1,RES10
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,21-40/day,%,Percentage,0.3,,,,0.2,0.5,107,NBW (>2500g),Birth Weight,,CLA9,TOP27,QUO191,59,BWT2,BOC1,RES11
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,41+/day,%,Percentage,0.2,,,,0.1,0.3,63,NBW (>2500g),Birth Weight,,CLA9,TOP27,QUO191,59,BWT2,BOC1,RES12
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,6-10/day,%,Percentage,3.2,,,,2.9,3.5,1007,NBW (>2500g),Birth Weight,,CLA9,TOP27,QUO191,59,BWT2,BOC1,RES13
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,None (0 cig),%,Percentage,88.2,,,,87.6,88.7,27438,NBW (>2500g),Birth Weight,,CLA9,TOP27,QUO191,59,BWT2,BOC1,RES27
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,< 1/day,%,Percentage,1.5,,,,1.3,1.7,550,NBW (>2500g),Birth Weight,,CLA9,TOP27,QUO191,59,BWT2,BOC1,RES8
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,11-20/day,%,Percentage,1.7,,,,1.5,2,515,NBW (>2500g),Birth Weight,,CLA9,TOP27,QUO191,59,BWT2,BOC1,RES9
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,,%,Percentage,1144,1,"Missing includes not applicable, don't know, not recorded, no responses, and legitimate skips",,,,,,On WIC during Pregnancy,,CLA9,TOP27,QUO191,59,BOC10,BOC10,
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,1-5/day,%,Percentage,3.1,,,,2.8,3.5,819,Non-WIC,On WIC during Pregnancy,,CLA9,TOP27,QUO191,59,WIC1,BOC10,RES10
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,21-40/day,%,Percentage,0.2,,,,0.1,0.3,59,Non-WIC,On WIC during Pregnancy,,CLA9,TOP27,QUO191,59,WIC1,BOC10,RES11
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,41+/day,%,Percentage,0.2,,,,0.1,0.3,37,Non-WIC,On WIC during Pregnancy,,CLA9,TOP27,QUO191,59,WIC1,BOC10,RES12
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,6-10/day,%,Percentage,1.9,,,,1.6,2.2,573,Non-WIC,On WIC during Pregnancy,,CLA9,TOP27,QUO191,59,WIC1,BOC10,RES13
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,None (0 cig),%,Percentage,92.5,,,,92,93.1,21105,Non-WIC,On WIC during Pregnancy,,CLA9,TOP27,QUO191,59,WIC1,BOC10,RES27
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,< 1/day,%,Percentage,1,,,,0.8,1.2,253,Non-WIC,On WIC during Pregnancy,,CLA9,TOP27,QUO191,59,WIC1,BOC10,RES8
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,11-20/day,%,Percentage,1.2,,,,1,1.5,311,Non-WIC,On WIC during Pregnancy,,CLA9,TOP27,QUO191,59,WIC1,BOC10,RES9
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,1-5/day,%,Percentage,8,,,,7.4,8.7,1934,WIC,On WIC during Pregnancy,,CLA9,TOP27,QUO191,59,WIC2,BOC10,RES10
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,21-40/day,%,Percentage,0.6,,,,0.5,0.9,155,WIC,On WIC during Pregnancy,,CLA9,TOP27,QUO191,59,WIC2,BOC10,RES11
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,41+/day,%,Percentage,0.3,,,,0.2,0.4,64,WIC,On WIC during Pregnancy,,CLA9,TOP27,QUO191,59,WIC2,BOC10,RES12
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,6-10/day,%,Percentage,5.4,,,,4.8,6,1194,WIC,On WIC during Pregnancy,,CLA9,TOP27,QUO191,59,WIC2,BOC10,RES13
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,None (0 cig),%,Percentage,80.9,,,,80,81.9,15992,WIC,On WIC during Pregnancy,,CLA9,TOP27,QUO191,59,WIC2,BOC10,RES27
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,< 1/day,%,Percentage,2.2,,,,1.8,2.5,524,WIC,On WIC during Pregnancy,,CLA9,TOP27,QUO191,59,WIC2,BOC10,RES8
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,11-20/day,%,Percentage,2.6,,,,2.3,3.1,624,WIC,On WIC during Pregnancy,,CLA9,TOP27,QUO191,59,WIC2,BOC10,RES9
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,< 1/day,%,Percentage,6.5,,,,5.7,7.3,771,Smoker,Smoked 3 months before Pregnancy,,CLA9,TOP27,QUO191,59,SMK2,BOC12,RES8
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,,%,Percentage,1517,1,"Missing includes not applicable, don't know, not recorded, no responses, and legitimate skips",,,,,,Pregnancy Intendedness,,CLA9,TOP27,QUO191,59,BOC11,BOC11,
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,1-5/day,%,Percentage,3.4,,,,3,3.7,1108,Intended,Pregnancy Intendedness,,CLA9,TOP27,QUO191,59,IND1,BOC11,RES10
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,21-40/day,%,Percentage,0.3,,,,0.2,0.4,94,Intended,Pregnancy Intendedness,,CLA9,TOP27,QUO191,59,IND1,BOC11,RES11
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,41+/day,%,Percentage,0.2,,,,0.1,0.3,47,Intended,Pregnancy Intendedness,,CLA9,TOP27,QUO191,59,IND1,BOC11,RES12
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,6-10/day,%,Percentage,2.3,,,,2,2.6,721,Intended,Pregnancy Intendedness,,CLA9,TOP27,QUO191,59,IND1,BOC11,RES13
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,None (0 cig),%,Percentage,91.6,,,,91,92.1,22492,Intended,Pregnancy Intendedness,,CLA9,TOP27,QUO191,59,IND1,BOC11,RES27
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,< 1/day,%,Percentage,1.1,,,,0.9,1.4,337,Intended,Pregnancy Intendedness,,CLA9,TOP27,QUO191,59,IND1,BOC11,RES8
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,11-20/day,%,Percentage,1.2,,,,1,1.4,393,Intended,Pregnancy Intendedness,,CLA9,TOP27,QUO191,59,IND1,BOC11,RES9
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,1-5/day,%,Percentage,7.8,,,,7.2,8.5,1593,Unintended,Pregnancy Intendedness,,CLA9,TOP27,QUO191,59,IND2,BOC11,RES10
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,21-40/day,%,Percentage,0.5,,,,0.4,0.7,118,Unintended,Pregnancy Intendedness,,CLA9,TOP27,QUO191,59,IND2,BOC11,RES11
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,41+/day,%,Percentage,0.2,,,,0.1,0.3,54,Unintended,Pregnancy Intendedness,,CLA9,TOP27,QUO191,59,IND2,BOC11,RES12
