"Number and percent of women who stopped drinking any alcohol during pregnancy among those who drank prior to pregnancy
by select sociodemographic characteristics: NYC PRAMS, 2007*",,,
,,,
Characteristic,Number,Percent,95% CI
"Overall
All NYC mothers, 2007","30,335",74.1,69.1 - 78.6
Age,,,
"
19 and under","1,948",93.3,69.2 - 98.9
20 to 24,"5,918",74.1,60.5 - 84.3
25 to 34,"17,262",78.0,71.4 - 83.4
35 and over,"5,207",59.9,48.9 - 69.9
"Race/ethnicity
White non-Hispanic",,,
"
White non-Hispanic","10,314",66.5,58.0 - 74.0
Black non-Hispanic,"6,078",70.1,57.3 - 80.3
Hispanic,"10,138",84.4,75.8 - 90.4
Asian/Pacific Islander,"3,793",80.7,66.0 - 90.0
Education,,,
"
Less than high school","3,687",74.3,56.3 - 86.7
High school,"7,727",83.5,72.8 - 90.6
More than high school,"18,906",70.8,64.7 - 76.3
"Insurance before pregnancy
",,,
"
No insurance","5,853",71.1,57.9 - 81.5
Medicaid,"6,290",80.2,67.9 - 88.6
Other insurance,"18,055",73.1,66.8 - 78.5
Nativity,,,
"
Foreign born","11,871",74.4,66.1 - 81.3
US born (Includes Puerto Rico & U.S. Virgin Islands),"18,328",74.1,67.6 - 79.7
Borough of residence,,,
"
Bronx","5,487",79.6,66.7 - 88.3
Brooklyn,"9,478",73.3,64.1 - 80.8
Manhattan,"6,026",61.3,50.4 - 71.1
Queens,"8,379",85.1,74.6 - 91.8
Staten Island (estimate based on < 60 respondents and may not be reliable),965,68.5,40.3 - 87.5
,,,
"* Notes.
1. PRAMS Question #35a: During the 3 months before you got pregnant, how many alcoholic drinks did you have in an average week?;  PRAMS Question #36a: During the last 3 months of your pregnancy, how many alcoholic drinks did you have in an average week?
Answers:
14 drinks or more a week 7 to 13 drinks a week
4 to 6 drinks a week
1 to 3 drinks a week Less than 1 drink a week I didn't drink then
Women who reported drinking any quantity prior to pregnancy and none during pregnancy were
counted as having stopped.",,,
"2. Totals for each category may not equal overall total due to missing data or rounding.
3. Data are weighted and are based on responses of 1,492 NYC women giving birth in 2007.",,,
